Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
25-29,Woman,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,,,,,
70+,Man,Master's,Currently not employed,,,,,20+ years,20 or more years,laptop,,Once,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,
30-34,Man,Master's,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",well established,"150,000-199,999",5-10 years,5-10 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
35-39,Man,Bachelor's,Business Analyst,Retail/Sales,"10,000 or more employees",I do not know,"70,000-79,999",5-10 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,,,,
35-39,Man,Master's,Data Scientist,Accounting/Finance,0-49 employees,for insights only,"100,000-124,999",10-20 years,5-10 years,desktop,Google Cloud Firestore ,Never,Local development environments,Yes,,,Yes,,,Yes,,Yes,,Yes,,
50-54,Woman,Professional doctorate,Data Scientist,Computers/Technology,0-49 employees,for insights only,"90,000-99,999",1-3 years,2-3 years,cloud computing platform,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,
50-54,Man,Bachelor's,Product Manager,Energy/Mining,"10,000 or more employees",exploring,"150,000-199,999",20+ years,5-10 years,cloud computing platform,Microsoft Azure Cosmos DB ,Never,Basic statistical software,Yes,,Yes,Yes,,,Yes,,Yes,,,,Yes
18-21,Woman,Master's,Other,Other,0-49 employees,exploring,0-999,5-10 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,
45-49,Woman,Professional doctorate,Student,,,,,3-5 years,3-4 years,laptop,,6-25 times,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
30-34,Woman,Bachelor's,Data Analyst,Manufacturing/Fabrication,0-49 employees,do not use,"25,000-29,999",< 1 years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Basic statistical software,,Yes,Yes,,,,,,,,,,
30-34,Man,Bachelor's,Program/Project Manager,Online Service/Internet-based Services,"1000-9,999 employees",well established,"150,000-199,999",10-20 years,2-3 years,desktop,Microsoft Azure SQL Database ,Once,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,,,,,Yes
22-24,Prefer to self-describe,college study without degree,Student,,,,,< 1 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,Yes,,Yes,,,,
30-34,Man,Bachelor's,Program/Project Manager,Accounting/Finance,0-49 employees,exploring,"100,000-124,999",1-3 years,1-2 years,desktop,,Never,Basic statistical software,Yes,,,,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Master's,Data Analyst,Computers/Technology,"1000-9,999 employees",well established,"125,000-149,999",< 1 years,1-2 years,laptop,,2-5 times,Basic statistical software,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,
35-39,Man,Master's,Data Analyst,Computers/Technology,50-249 employees,recently started,"125,000-149,999",10-20 years,5-10 years,cloud computing platform,,Once,Cloud-based data software & APIs,Yes,Yes,Yes,,,,,,Yes,,,,
30-34,Man,Doctoral,Student,,,,,5-10 years,5-10 years,cloud computing platform,,6-25 times,Local development environments,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
50-54,Woman,Doctoral,Data Scientist,Academics/Education,50-249 employees,I do not know,"70,000-79,999",10-20 years,4-5 years,cloud computing platform,,2-5 times,,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,
22-24,Man,Bachelor's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,,Yes,,,,,,,,
35-39,Prefer not to say,Master's,Student,,,,,5-10 years,5-10 years,cloud computing platform,,6-25 times,Local development environments,Yes,Yes,,Yes,Yes,Yes,,,,,,,Yes
30-34,Man,Bachelor's,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",well established,"125,000-149,999",5-10 years,4-5 years,cloud computing platform,Microsoft SQL Server ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
45-49,Man,college study without degree,Data Engineer,Broadcasting/Communications,"10,000 or more employees",well established,"100,000-124,999",3-5 years,4-5 years,desktop,Amazon Redshift ,2-5 times,Basic statistical software,Yes,,Yes,,,,Yes,,Yes,,,,
60-69,Man,Bachelor's,Other,Accounting/Finance,"10,000 or more employees",well established,"150,000-199,999",1-3 years,Under 1 year,desktop,MySQL ,Never,Local development environments,,Yes,Yes,,,,,,Yes,,,,
25-29,Man,Doctoral,Research Scientist,Academics/Education,"10,000 or more employees",for insights only,"30,000-39,999",5-10 years,Under 1 year,cloud computing platform,,Never,Local development environments,Yes,Yes,,,,,,,Yes,,,Yes,
35-39,Woman,Master's,Data Scientist,Computers/Technology,250-999 employees,well established,"125,000-149,999",3-5 years,4-5 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
35-39,Man,Doctoral,Software Engineer,Accounting/Finance,"10,000 or more employees",exploring,"250,000-299,999",10-20 years,2-3 years,cloud computing platform,,2-5 times,Basic statistical software,,,,,,,Yes,,,,,,Yes
55-59,Man,Doctoral,Data Engineer,Government/Public Service,"1000-9,999 employees",for insights only,"150,000-199,999",20+ years,20 or more years,laptop,,Never,Local development environments,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
40-44,Man,high school,Student,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
22-24,Man,college study without degree,Data Analyst,Shipping/Transportation,250-999 employees,do not use,,< 1 years,I do not use machine learning methods,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
35-39,Man,Doctoral,Other,Academics/Education,"10,000 or more employees",I do not know,"80,000-89,999",10-20 years,3-4 years,deep learning workstation,,6-25 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes
55-59,Man,Master's,Currently not employed,,,,,10-20 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,,Yes,,
35-39,Man,Master's,Software Engineer,Energy/Mining,0-49 employees,do not use,"50,000-59,999",< 1 years,Under 1 year,desktop,,Never,Local development environments,Yes,,,,Yes,,,,,,,Yes,
60-69,Man,Doctoral,Other,,,,,20+ years,,desktop,,Never,,,Yes,Yes,,,,,,,,,,
50-54,Man,Master's,Data Scientist,Hospitality/Entertainment/Sports,50-249 employees,exploring,"80,000-89,999",5-10 years,3-4 years,desktop,PostgreSQL ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
45-49,Man,college study without degree,Data Analyst,Academics/Education,50-249 employees,do not use,,10-20 years,1-2 years,laptop,,Never,,Yes,,Yes,,Yes,,Yes,,,,,,Yes
35-39,Woman,Master's,Other,Academics/Education,250-999 employees,I do not know,"15,000-19,999",< 1 years,Under 1 year,cloud computing platform,,Never,Basic statistical software,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
22-24,Man,Bachelor's,Student,,,,,5-10 years,2-3 years,laptop,,2-5 times,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,
30-34,Man,Master's,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",well established,"200,000-249,999",10-20 years,5-10 years,cloud computing platform,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
55-59,Man,Master's,Other,Medical/Pharmaceutical,50-249 employees,well established,"300,000-499,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
40-44,Woman,Bachelor's,Other,Medical/Pharmaceutical,50-249 employees,I do not know,"10,000-14,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Woman,Doctoral,Research Scientist,Academics/Education,50-249 employees,do not use,"60,000-69,999",3-5 years,I do not use machine learning methods,laptop,,Never,Advanced statistical software,,Yes,,,,,,,,,,,
60-69,Man,Bachelor's,Program/Project Manager,Computers/Technology,0-49 employees,exploring,"60,000-69,999",20+ years,Under 1 year,desktop,MySQL ,Never,Basic statistical software,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes
22-24,Man,Bachelor's,Data Analyst,Accounting/Finance,"10,000 or more employees",well established,"100,000-124,999",3-5 years,3-4 years,cloud computing platform,,Never,Local development environments,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,
35-39,Man,Doctoral,Data Scientist,Academics/Education,50-249 employees,exploring,0-999,< 1 years,1-2 years,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,Yes,,Yes,
40-44,Woman,Bachelor's,Software Engineer,Military/Security/Defense,0-49 employees,do not use,"80,000-89,999",10-20 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,Yes,,,,,,,
60-69,Man,Master's,Machine Learning Engineer,Government/Public Service,0-49 employees,for insights only,"125,000-149,999",20+ years,4-5 years,laptop,,2-5 times,Local development environments,Yes,,Yes,Yes,,,,,,Yes,Yes,,
50-54,Man,Doctoral,Data Scientist,Academics/Education,250-999 employees,for insights only,"100,000-124,999",5-10 years,3-4 years,laptop,MySQL ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
50-54,Man,college study without degree,DBA/Database Engineer,Accounting/Finance,250-999 employees,do not use,"150,000-199,999",20+ years,10-20 years,desktop,Microsoft SQL Server ,6-25 times,Business intelligence software,,,Yes,,,,,,Yes,,Yes,Yes,
50-54,Man,Bachelor's,Data Engineer,Accounting/Finance,250-999 employees,recently started,"300,000-499,999",20+ years,4-5 years,laptop,Snowflake ,Never,Basic statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
45-49,Prefer not to say,Doctoral,Data Scientist,Computers/Technology,250-999 employees,well established,"150,000-199,999",20+ years,20 or more years,laptop,,Never,Other,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
40-44,Man,Master's,Machine Learning Engineer,Online Service/Internet-based Services,250-999 employees,well established,"150,000-199,999",5-10 years,2-3 years,cloud computing platform,PostgreSQL ,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,
55-59,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"500,000-999,999",20+ years,20 or more years,desktop,,Never,Local development environments,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Yes,
45-49,Man,Master's,Other,Other,"10,000 or more employees",well established,"250,000-299,999",20+ years,4-5 years,cloud computing platform,Microsoft Azure Cosmos DB ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
25-29,Woman,Doctoral,Data Scientist,Computers/Technology,50-249 employees,well established,"4,000-4,999",1-3 years,2-3 years,desktop,MySQL ,Once,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
30-34,Man,Master's,Currently not employed,,,,,1-3 years,1-2 years,cloud computing platform,,Never,Local development environments,Yes,,,Yes,,,Yes,,,Yes,Yes,,Yes
22-24,Man,Bachelor's,Student,,,,,3-5 years,1-2 years,laptop,,Never,,Yes,,,,,,Yes,,,,,,Yes
18-21,Man,Bachelor's,Student,,,,,5-10 years,,desktop,,,,Yes,Yes,,,,,,,,,,,
35-39,Man,Bachelor's,Other,Government/Public Service,250-999 employees,do not use,"50,000-59,999",< 1 years,Under 1 year,None,,Never,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Doctoral,Student,,,,,5-10 years,2-3 years,laptop,,2-5 times,,Yes,Yes,,,,,Yes,,Yes,Yes,,,Yes
30-34,Man,Master's,Other,Energy/Mining,"10,000 or more employees",do not use,"90,000-99,999",1-3 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,,,Yes,,,,,Yes,,,,
18-21,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,,,,,,,,,,,,,
35-39,Woman,Bachelor's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
35-39,Man,Bachelor's,Product Manager,Computers/Technology,50-249 employees,recently started,"150,000-199,999",3-5 years,1-2 years,laptop,Amazon Redshift ,Once,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,
35-39,Man,Doctoral,Research Scientist,Accounting/Finance,50-249 employees,well established,"250,000-299,999",5-10 years,3-4 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,,,
22-24,Man,Bachelor's,Currently not employed,,,,,3-5 years,Under 1 year,cloud computing platform,,Once,,Yes,,,Yes,,,Yes,Yes,,,Yes,,
35-39,Man,Doctoral,Machine Learning Engineer,Computers/Technology,250-999 employees,well established,"200,000-249,999",5-10 years,4-5 years,cloud computing platform,MySQL ,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,
40-44,Man,Master's,Other,Accounting/Finance,0-49 employees,well established,"100,000-124,999",3-5 years,2-3 years,desktop,Microsoft SQL Server ,2-5 times,Basic statistical software,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
25-29,Man,Master's,Data Scientist,Accounting/Finance,0-49 employees,recently started,"80,000-89,999",3-5 years,3-4 years,laptop,,More than 25 times,Cloud-based data software & APIs,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
50-54,Woman,Doctoral,Research Scientist,,,,,10-20 years,Under 1 year,cloud computing platform,,Never,,,,Yes,,,,,,,,,,
45-49,Man,Bachelor's,Other,Accounting/Finance,0-49 employees,well established,"200,000-249,999",20+ years,3-4 years,laptop,PostgreSQL ,Never,Local development environments,Yes,,Yes,,Yes,Yes,,,Yes,,,,Yes
18-21,Woman,college study without degree,Student,,,,,3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
30-34,Man,Master's,Data Scientist,Shipping/Transportation,250-999 employees,for insights only,"80,000-89,999",3-5 years,1-2 years,desktop,,2-5 times,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,
45-49,Man,Bachelor's,Currently not employed,,,,,1-3 years,1-2 years,desktop,,Never,Basic statistical software,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,
30-34,Man,college study without degree,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
45-49,Woman,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
70+,Man,Master's,Data Analyst,Government/Public Service,"10,000 or more employees",,,20+ years,1-2 years,desktop,,Never,,Yes,,Yes,,,,,,,,,,
30-34,Man,Bachelor's,Data Analyst,,,,,1-3 years,,desktop,,,,Yes,Yes,Yes,,,,,,,,,,
25-29,Man,Doctoral,Data Scientist,Manufacturing/Fabrication,0-49 employees,recently started,"60,000-69,999",< 1 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
60-69,Man,Bachelor's,Other,Other,"10,000 or more employees",well established,"100,000-124,999",20+ years,5-10 years,laptop,Microsoft SQL Server ,2-5 times,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
50-54,Man,Master's,Data Scientist,Energy/Mining,"1000-9,999 employees",recently started,"100,000-124,999",5-10 years,4-5 years,laptop,,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
50-54,Man,Master's,Student,,,,,1-3 years,1-2 years,desktop,,Once,Basic statistical software,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
50-54,Man,Master's,Research Scientist,Accounting/Finance,"10,000 or more employees",well established,"300,000-499,999",10-20 years,10-20 years,cloud computing platform,Amazon Redshift ,Never,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes
25-29,Woman,Master's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,,,,,
40-44,Woman,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Woman,Bachelor's,Other,Government/Public Service,"10,000 or more employees",do not use,"10,000-14,999",< 1 years,1-2 years,laptop,,6-25 times,Basic statistical software,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes
60-69,Man,Master's,Business Analyst,Insurance/Risk Assessment,0-49 employees,for insights only,"100,000-124,999",I have never written code,,,,,Business intelligence software,,,,,,,,,,,,,
25-29,Woman,Master's,Software Engineer,Computers/Technology,0-49 employees,well established,0-999,1-3 years,1-2 years,cloud computing platform,,Once,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,Yes
30-34,Woman,Master's,Business Analyst,Accounting/Finance,0-49 employees,I do not know,"60,000-69,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
55-59,Man,Bachelor's,Other,Computers/Technology,50-249 employees,recently started,"30,000-39,999",1-3 years,Under 1 year,laptop,MySQL ,Never,Basic statistical software,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,
55-59,Man,college study without degree,Software Engineer,Computers/Technology,"1000-9,999 employees",well established,"125,000-149,999",20+ years,4-5 years,laptop,SQLite ,6-25 times,Local development environments,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,,Yes
55-59,Man,Master's,Other,Other,"10,000 or more employees",I do not know,"40,000-49,999",< 1 years,I do not use machine learning methods,desktop,,Never,Other,,,,,,,,,,,,,
40-44,Woman,Doctoral,Research Scientist,Academics/Education,0-49 employees,do not use,"30,000-39,999",10-20 years,Under 1 year,desktop,,Never,Local development environments,,Yes,,,,,,,,,,,
45-49,Man,Master's,Student,,,,,5-10 years,I do not use machine learning methods,laptop,,Never,Cloud-based data software & APIs,,,,,,,,,,,,,
45-49,Man,Professional doctorate,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",recently started,"150,000-199,999",10-20 years,10-20 years,laptop,PostgreSQL ,Never,Business intelligence software,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
35-39,Man,Master's,Business Analyst,Retail/Sales,"10,000 or more employees",well established,0-999,10-20 years,5-10 years,laptop,MySQL ,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55-59,Man,Professional doctorate,Research Scientist,Academics/Education,"1000-9,999 employees",I do not know,"200,000-249,999",10-20 years,Under 1 year,laptop,,Never,,,Yes,,Yes,,,,,Yes,,,,Yes
30-34,Man,Bachelor's,Data Scientist,Computers/Technology,250-999 employees,well established,"200,000-249,999",5-10 years,5-10 years,deep learning workstation,,Never,Local development environments,Yes,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes
60-69,Prefer not to say,Master's,Data Analyst,Government/Public Service,"10,000 or more employees",recently started,"100,000-124,999",I have never written code,,,,,Local development environments,,,,,,,,,,,,,
25-29,Man,Master's,Student,,,,,1-3 years,2-3 years,deep learning workstation,,Never,Other,Yes,,,Yes,,,Yes,,,,,,Yes
25-29,Man,Bachelor's,Software Engineer,Computers/Technology,"1000-9,999 employees",well established,"125,000-149,999",5-10 years,Under 1 year,desktop,,Never,Local development environments,,,,Yes,,,,,Yes,,,Yes,
